"出題順","番号","チャプター","ユニット","形式","問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","選択肢6","正解","正解の内容","完成文","訳","POINT","解説","誤答チェック・補足","備考"
"11","108","Chapter 2 準動詞","UNIT 3 動名詞(1)","空所補充","Michael （　） play football for his school, but he doesn't now.","used to","got used to","was used to","is used to","","","1","used to","Michael used to play football for his school, but he doesn't now.","マイケルは以前は学校のチームでサッカーをしていたが、今はしていない。","used to do「昔は～したものだ（今は違う）」","空所の直後が動詞の原形 play である点にまず注目します。used to do は「昔は～したものだ」と過去の習慣を表し、後ろに動詞の原形をとります。さらに文末の but he doesn't now（今はしていない）が「過去と現在の対比」を示しており、「昔はしていたが今は違う」という used to の核心的な意味とぴったり一致します。一方、be used to / get used to は「～に慣れている／慣れる」という別の熟語で、後ろには動名詞か名詞が必要です。後ろの形（原形か -ing か）と文の意味の両面から 1 を選びます。","2 got used to：「慣れた」の意味で、後ろは動名詞が必要。原形 play が続けられないため×
3 was used to：「慣れていた」の意味で、後ろは動名詞が必要なため×
4 is used to：「慣れている」の意味で、後ろは動名詞が必要。時制も文意も合わないため×",""
"12","159","Chapter 3 構造系","UNIT 1 関係詞(1)","空所補充","I know the girl （　） father is a famous musician.","who","whom","who's","whose","","","4","whose","I know the girl whose father is a famous musician.","私は、父親が有名な音楽家であるその女の子を知っている。","空所＋名詞で「〜の…」となるなら所有格 whose","空所の直後に father という名詞が続き、「その女の子の父親」という所有関係が成り立っています。このように「先行詞の〜」という意味で直後の名詞とセットになるのは、所有格の関係代名詞 whose です。もとの文で考えると、I know the girl. + Her father is a famous musician. の her が whose に変わって2文がつながった形です。whose は先行詞が人でもモノでも使える点も覚えておきましょう。","1 who：主格だが、節内の主語は father としてすでに存在し、「彼女の父」という所有の意味を表せないため×
2 whom：目的格だが、節内に目的語の欠けがなく、直後の名詞ともつながらないため×
3 who's：who is の短縮形であり、who is father is... では文が成立しないため×（whose と音が同じなので狙われやすい）",""
"13","017","Chapter 1 動詞関連","UNIT 2 時制(2)","空所補充","It （　） more than ten years since I left my hometown.","has been","has passed","is passed","was","","","1","has been","It has been more than ten years since I left my hometown.","故郷を離れてから10年以上になります。","経過時間は〈It has been[is]+期間+since+過去の文〉","「～してから（期間）になる」という時間の経過は、〈It has been+期間+since S+過去形〉の形で表します（It is+期間+since ... も可）。since I left my hometown「故郷を離れて以来」の起点から現在までの経過なので、現在完了 has been が適切です。なお「時が経過する」という意味では〈期間+have passed since ...〉という言い方もありますが、その場合は More than ten years have passed ... のように期間そのものが主語になります。本問は主語が It なので、has passed は使えない点に注意しましょう。","2 has passed：pass を使うなら期間（More than ten years）を主語にする必要があり、It を主語にはできないため×
3 is passed：pass「経過する」は自動詞で受動態にできず、形として成り立たないため×
4 was：過去形では「現在までの経過」を表せないため×",""
"14","340","Chapter 5 文型","UNIT 2 第4文型の語法","空所補充","May I ask （　）?","a question you","you a question","you of a question","a question on you","","","2","you a question","May I ask you a question?","ひとつ質問してもよろしいですか。","ask A B ＝「AにBを尋ねる」（人が先、物が後）","ask は第4文型をとる動詞で、ask＋人＋物 の語順で「人に物を尋ねる」を表します。したがって ask you a question「あなたに質問をする」の順になる2が正解です。第4文型では必ず「人（間接目的語）→物（直接目的語）」の順に並ぶことを確認しましょう。なお、第3文型に書き換える場合、ask は特殊で ask a question of you のように of を使いますが、この語順は選択肢にありません。「ask は SVOO なら人が先、書き換えなら of」とセットで覚えるのがポイントです。","1 a question you：「物→人」の順は第4文型の語順として誤り。前置詞もないため×
3 you of a question：of を使うなら ask a question of you の語順。人＋of＋物 の並びは存在しないため×
4 a question on you：ask の書き換えに使う前置詞は of であり、on は使えないため×",""
"15","098","Chapter 2 準動詞","UNIT 2 不定詞(2)","空所補充","日本語の意味を表す英文を作る場合、英文の空所(ア)、(イ)を補うのに最も適切な組み合わせを1つ選びなさい。
言うまでもなく、健康はお金よりも大切だ。
(ア ) to( ィ ),health is more important than money.","Clearlyーtell","Putーwords","Needlessーsay","Expressionーsay","","","3","Needlessーsay","Needless to say, health is more important than money.","言うまでもなく、健康はお金よりも大切だ。","needless to say「言うまでもなく」（独立不定詞）","文全体を修飾する慣用的な不定詞表現(独立不定詞)の問題です。needless to say は「言うまでもなく」という意味の定型表現で、文頭に置いてコンマで区切り、話し手のコメントを添えるはたらきをします。needless は「不必要な」という意味の形容詞で、直訳すると「言う必要もないことだが」となり、日本文の「言うまでもなく」にぴったり対応します。to say the least「控えめに言っても」、to tell the truth「実を言うと」など、他の独立不定詞もまとめて覚えておきましょう。","1 Clearly―tell：Clearly to tell という慣用表現は存在しないため×
2 Put―words：「言い換えれば」なら to put it in other words などの形であり、Put to words では文法的に成立しないため×
4 Expression―say：Expression to say という表現は存在しないため×",""
"16","273","Chapter 4 品詞系","UNIT 3 冠詞・名詞","空所補充","I wish he would give me （　） about the college.","an information","some information","many informations","some more informations","","","2","some information","I wish he would give me some information about the college.","その大学について、彼が何か情報をくれたらいいのに。","information は不可算名詞","空所には「情報」を意味する語句が入りますが、information は数えられない名詞（不可算名詞）の代表格です。不可算名詞には a / an をつけられず、複数形の -s もつけられません。したがって、量を漠然と表す some をつけた some information が正解です。日本語では「情報が1つ、2つ」と数える感覚がありますが、英語の information は advice や furniture などと同じく「ひとかたまりの物質」のように扱う、と覚えておきましょう。数えたいときは a piece of information の形を使います。","1 an information：不可算名詞に不定冠詞 an はつけられないため×
3 many informations：複数形 informations が存在せず、many（数えられる名詞用）も使えないため×
4 some more informations：複数形 informations が誤りのため×",""
"17","061","Chapter 1 動詞関連","UNIT 6 仮定法(2)","空所補充","It is time that you （　） to bed, Tom.","gone","going","to go","went","","","4","went","It is time that you went to bed, Tom.","トム、もう寝る時間ですよ。","It is time (that) S + 過去形「もう〜してもいい時間だ」","It is time (that) 〜 の構文では、that 節の中に仮定法過去（動詞の過去形）を使い、「本当ならもう〜しているはずの時間なのに（まだしていない）」というニュアンスを表します。現在・未来のことなのに過去形を使うのは、「まだ寝ていない」という現実とのズレを仮定法で示しているからです。よって went が正解です。high や about を添えた It is high time / about time 〜 も同じく過去形をとる、という形で頻出なのでまとめて覚えておきましょう。","1 gone：過去分詞単独では述語動詞になれないため×
2 going：-ing 形単独では that 節の述語動詞になれないため×
3 to go：It is time for you to go なら可能だが、that 節の中に to 不定詞は置けないため×",""
"18","291","Chapter 4 品詞系","UNIT 4 代名詞","空所補充","The results of Experiment A are more reliable than （　） of Experiment B.","ones","that","these","those","","","4","those","The results of Experiment A are more reliable than those of Experiment B.","実験Aの結果は実験Bの結果よりも信頼できる。","the + 複数名詞の反復は those で受ける","問290と同じく、比較の文で名詞の繰り返しを避ける問題です。今回受けるのは The results という複数名詞なので、that の複数形 those を使い、those of Experiment B = the results of Experiment B とします。動詞が are になっていることからも、主語も比較対象も複数だと確認できます。「単数なら that、複数なら those」——比較の文でこのペアを見たら、まず元の名詞の単複をチェックする習慣をつけましょう。","1 ones：ones は不特定の複数を表し、the のついた特定名詞の代用として of 句を続ける形では使えないため×
2 that：単数名詞を受ける形で、複数の results に合わないため×
3 these：「これら」と目の前のものを指す語で、名詞の反復代用には使えないため×",""
"19","266","Chapter 4 品詞系","UNIT 2 接続詞","空所補充","Could you advise me about （　） I should apply to this school or not?","that","what","whether","why","","","3","whether","Could you advise me about whether I should apply to this school or not?","この学校に出願すべきかどうか、アドバイスをいただけますか。","whether ... or not「〜かどうか」は前置詞の目的語になれる","空所は前置詞 about の直後で、後ろには I should apply という SV、さらに文末に or not があります。「〜かどうか」という名詞節を作り、or not と呼応できるのは whether です。同じ「〜ということ」系の接続詞でも、that 節は前置詞の目的語になれないという重要な制限があります（× about that ...）。また、名詞節を作る if も前置詞の後ろでは使えません。「前置詞の後ろ＋or not とセット」という2つのサインから whether を選ぶのが着眼点です。","1 that：that 節は前置詞の目的語になれず、or not とも呼応しないため×
2 what：疑問詞 what の後ろは不完全な文（名詞の欠け）が必要だが、I should apply to this school は完結しているため×
4 why：「なぜ出願すべきか」となり意味が通らず、or not とも呼応しないため×",""
"20","044","Chapter 1 動詞関連","UNIT 5 仮定法(1)","空所補充","If I had eaten breakfast, I （　）hungry now.","am not","won't be","wouldn't be","wouldn't have been","","","3","wouldn't be","If I had eaten breakfast, I wouldn't be hungry now.","朝食を食べていれば、今お腹が空いていないでしょうに。","混合仮定法：if 節は過去完了・帰結節は仮定法過去","if 節の had eaten は「過去の事実（朝食を食べなかった）」に反する仮定なので仮定法過去完了の形です。ところが帰結節には now があり、「今空腹だ」という現在の状態の裏返しを述べています。このように「過去の仮定→現在の帰結」を組み合わせる形を混合仮定法と呼び、帰結節は仮定法過去の「would＋原形」、つまり wouldn't be を使います。文末の now を見落とさないことが最大の着眼点です。","1 am not：直説法現在で、仮定の帰結節に置けないため×
2 won't be：直説法未来で、仮定法の文に合わないため×
4 wouldn't have been：「過去に〜でなかっただろう」となり、now（現在）と矛盾するため×",""
"21","209","Chapter 3 構造系","UNIT 5 疑問","空所補充","新しい隣人がどんな人か、知りたい。
I want to know what our new next-door neighbor is （　）.","about","appearing","like","looking","","","3","like","I want to know what our new next-door neighbor is like.","新しい隣人がどんな人か、知りたい。","what S is like =「S がどんな人（もの）か」（間接疑問）","問 208 で見た What is S like? が、know の目的語として文中に組み込まれた間接疑問の形です。間接疑問では平叙文の語順になるので what our new neighbor is like と並びます。この like は前置詞「〜のような」で、本来 like の後ろにあるべき名詞が疑問詞 what になって前に出た、と考えると構造がつかめます。「like が文末に残る」のがこの表現の目印です。","1 about：what S is about は「S（話・本など）が何についてのものか」という意味で、人柄を尋ねる文には合わないため×
2 appearing：is appearing では「現れつつある」となり意味が通らないため×
4 looking：「どんな見た目か」なら what S looks like と動詞 look＋like で表すため、looking 単独では×",""
"22","305","Chapter 4 品詞系","UNIT 5 形容詞","空所補充","During our vacation in Hawaii, we saw quite （　） whales.","a number","several","a lot","a few","","","4","a few","During our vacation in Hawaii, we saw quite a few whales.","ハワイでの休暇中、私たちはかなりたくさんのクジラを見た。","quite a few＋複数名詞＝「かなり多くの」","空所の直後に複数名詞 whales があり、直前に quite があることに注目します。quite a few ～ は「かなり多くの～」という意味の重要熟語で、few「ほとんどない」から連想される意味とは逆に、many に近い「多い」を表します。不可算名詞には quite a little「かなり多くの（量）」を使います。quite とセットで熟語を完成させられる 4 が正解です。「few なのに多い」という意外性から入試で狙われやすい表現なので、quite a few ≒ many と覚えてしまいましょう。","1 a number：quite a number とするなら quite a number of whales と of が必要で、直接名詞を続けられないため×
2 several：quite several という言い方は存在しないため×
3 a lot：quite a lot なら quite a lot of whales と of が必要なため×",""
"23","234","Chapter 3 構造系","UNIT 7 倒置・強調構文・語順","空所補充","No sooner （　） his meal than he drove to a nearby bookstore.","finishing","had he finished","he had finished","he finished","","","2","had he finished","No sooner had he finished his meal than he drove to a nearby bookstore.","彼は食事を終えるとすぐに、近くの書店へ車で向かった。","No sooner had S 過去分詞 〜 than ...「〜するとすぐに…した」","No sooner 〜 than ... は「〜するとすぐに…した」という意味の重要構文です。もとの形は He had no sooner finished his meal than ... で、「食事を終えた（過去完了）」のが「書店へ向かった（過去形）」より一瞬早いことを過去完了で表します。この no sooner という否定語が文頭に出ると、問233と同じく後ろは倒置になり、had と主語 he がひっくり返って No sooner had he finished 〜 という語順になります。「No sooner ＋ had ＋ S ＋ 過去分詞 〜 than S′＋過去形」をワンセットで覚えるのが最短ルートです。空所の後ろに than があることから、この構文だと即座に見抜きましょう。","1 finishing：文の述語動詞（主語に対応する動詞）がなくなってしまうため×
3 he had finished：文頭の否定語 No sooner の後ろは倒置が必要で、平叙文の語順は置けないため×
4 he finished：語順が倒置になっていないうえ、時制も過去完了が必要なため×",""
"24","287","Chapter 4 品詞系","UNIT 4 代名詞","空所補充","Some board members agreed with the president's proposal but （　） didn't.","another","other","others","the other","","","3","others","Some board members agreed with the president's proposal but others didn't.","役員の中には社長の提案に賛成した人もいたが、賛成しなかった人もいた。","some 〜, others ...「〜する人もいれば、…する人もいる」","文頭の Some board members と対になる語を選ぶ問題です。役員全体の人数は特定されておらず、「賛成した人たち」以外の「賛成しなかった（複数の）人たち」も全員とは限りません。このように残りが特定されない複数を指すときは、the を付けない others を使います。some 〜, others ...「〜もいれば…もいる」は対比の定番表現として丸ごと覚えましょう。didn't の後ろには agree with the president's proposal が省略されています。","1 another：単数扱いで動詞も didn't の後の複数的な対比に合わず、「別の1人」では文意も不成立のため×
2 other：other は原則として形容詞的に使う語で、単独で主語になる代名詞用法がないため×
4 the other：「残りの1人」の意味になり、全体数が特定されていないこの文脈では×",""
"25","069","Chapter 1 動詞関連","UNIT 7 受動態","空所補充","The door is （　）.","been painted","been painting","being painted","being painting","","","3","being painted","The door is being painted.","そのドアは今、ペンキを塗られているところだ。","進行形の受動態は〈be動詞＋being＋過去分詞〉","「今まさに〜されている最中だ」という意味は、進行形〈be動詞＋-ing〉と受動態〈be動詞＋過去分詞〉を組み合わせた〈be動詞＋being＋過去分詞〉で表します。この文では is が進行形のbe動詞、being painted が「塗られている」の部分にあたります。ドアは「塗る」側ではなく「塗られる」側なので、最後は必ず過去分詞 painted で終わることに注目すると、正解が being painted に絞れます。","1 been painted：is been という形は存在しない（been は have/has/had の後にしか使えない）ため×
2 been painting：同じく is been が不可能な形のため×
4 being painting：painting では「ドアが塗っている」という能動の意味になってしまうため×",""
"26","140","Chapter 2 準動詞","UNIT 6 分詞(2)","空所補充","下線部と同じ用法の-ingを含む最も適切なものを,選択肢から1つ選びなさい。
Learning a new language implies entering a new world, and it inevitably leads to a widening of intellectual experience.","The birds singing in the trees filled the air with music.","Looking down from the plane, I could see the east coast of the island.","We are entertaining our neighbors this evening.","Next Tuesday is the deadline for sending in your application.","","","4","Next Tuesday is the deadline for sending in your application.","Next Tuesday is the deadline for sending in your application.","来週の火曜日が、申込書を送付する締め切りです。","動名詞（名詞のはたらきをする -ing）を見分ける","問題文の Learning a new language implies entering a new world では、下線部の entering は動詞 implies「〜を意味する」の目的語になっています。つまり「〜すること」という名詞のはたらきをする -ing、すなわち動名詞（動詞を名詞化した形）です。-ing 形の用法を見分けるときは、その語が文中で「名詞・形容詞・副詞」のどの役割を果たしているかに着目します。選択肢 4 の sending は前置詞 for の目的語であり、「送付すること」という名詞のはたらきをしているので、これが同じ動名詞の用法です。前置詞の直後に置ける動詞の形は動名詞だけ、という点も覚えておきましょう。","1 singing：直前の名詞 The birds を修飾する現在分詞（形容詞のはたらき）のため×
2 Looking：「〜しながら / 〜すると」を表す分詞構文（副詞のはたらき）のため×
3 entertaining：be動詞 + -ing の現在進行形（ここでは近い未来の予定を表す用法）のため×","編集メモ: データ上、問題文のどの語に下線があるか示されていない。正解 4（動名詞）から逆算し、implies の目的語 entering（動名詞）を下線部と想定して解説を作成した。"
"27","169","Chapter 3 構造系","UNIT 2 関係詞(2)","空所補充","Junko is a famous musician, and （　） is more, she is an excellent designer.","who","what","where","how","","","2","what","Junko is a famous musician, and what is more, she is an excellent designer.","ジュンコは有名な音楽家であり、さらにその上、優れたデザイナーでもあります。","what is more「さらに、その上」（what を使った慣用表現）","and (　) is more で「さらに、その上」という意味の慣用表現 what is more を完成させる問題です。これは関係代名詞 what を使った決まり文句で、前に述べた内容に情報を付け加えるときの「つなぎ言葉」として働きます。what is worse「さらに悪いことに」、what is called「いわゆる」なども同じ what の慣用表現ファミリーです。文法的に分析するより、表現ごと暗記してしまうのが得点への近道です。ここでは「有名な音楽家である」ことに加えて「優れたデザイナーでもある」とプラスの情報を重ねています。","1 who：who is more という慣用表現は存在せず、先行詞もないため×
3 where：場所を表す関係副詞・疑問詞で、is の主語になれず意味も通らないため×
4 how：how is more では「どのように」となり、文法的にも意味的にも成立しないため×",""
"28","360","Chapter 5 文型","UNIT 3 第5文型の語法(1)","整序（英文選択）","彼は英語を話してみたが、通じなかった（＝英語で自分の意思を伝えるのは不可能だと分かった）。
日本語の意味に合う英文として最も適切なものを選びなさい。","He found it impossible to make himself understood in English.","He found impossible it to make himself understood in English.","He found it impossible to make understood himself in English.","He found it impossible to himself make understood in English.","","","1","He found it impossible to make himself understood in English.","He found it impossible to make himself understood in English.","彼は英語を話してみたが、通じなかった（＝英語で自分の意思を伝えるのは不可能だと分かった）。","find it C to do（形式目的語）＋ make oneself understood","まず述語動詞を決めます。主語 He のあとに置ける過去形は found だけなので、He found が文の骨格です。次に find は「find＋O＋C」（O が C だと分かる）の第5文型を作りますが、目的語が to 不定詞のときはそのまま置けず、形式目的語 it を先に立てて「find it C to do」の語順にします。これで found it impossible to ... が決まります。to のあとには make himself understood（自分の意思を通じさせる）という定型表現を置き、最後に in English（英語で）が文末の English につながるよう in で締めます。","【組み立て】
述語動詞 found を確定 → find it impossible to do（形式目的語 it）→ to make himself understood（意思を通じさせる）→ in + English","編集メモ: 語群の⑧のみ丸数字でなく「⑧」の字形になっている（誤植の可能性）"
"29","258","Chapter 4 品詞系","UNIT 2 接続詞","空所補充","Perhaps the company could further cut costs and （　） even more money after a solution has been found.","have made","made","make","makes","","","3","make","Perhaps the company could further cut costs and make even more money after a solution has been found.","おそらくその会社は、解決策が見つかった後には、さらにコストを削減し、いっそう多くの利益を上げることができるだろう。","等位接続詞 and は文法的に同じ形どうしを結ぶ","まず文の構造を確認しましょう。助動詞 could の後ろに cut costs と (  ) even more money が and で結ばれています。and のような等位接続詞（対等な要素どうしをつなぐ接続詞）は、文法的に同じ形を並べるのが大原則です。ここでは could cut と could (make) という形で、1つの could が2つの動詞にかかっていると考えます。助動詞の後ろは動詞の原形なので、cut（原形）と並ぶのは原形の make です。and の前後を見比べて「何と何が並んでいるか」を見抜くことが着眼点です。","1 have made：could have made は「〜できただろうに（過去の推量・後悔）」となり、原形 cut との並列が崩れるため×
2 made：過去形は助動詞 could の後ろに置けず、cut（原形）との並列にならないため×
4 makes：3人称単数現在形は助動詞の後ろに置けないため×",""
