No.,単語,日本語,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,日本語訳
25,lead to ～,～に通じる,Hard work and daily practice usually (     ) great success in the end.,listen to,lead to,belong to,refer to,2,努力と毎日の練習は、たいてい最後には大きな成功に通じる。
26,get rid of ～,～を取り除く,You should (     ) those old newspapers because they take up too much space.,believe in,get rid of,take care of,dream about,2,あの古い新聞は場所を取りすぎるので、処分したほうがいい。
27,a number of ～,たくさんの～,(     ) students joined the club activities at our school this year.,a number of,a piece of,a glass of,a cup of,1,たくさんの生徒が今年、私たちの学校の部活動に参加した。
28,come out,(星などが)出る,The beautiful stars (     ) at night when the sky is clear.,go off,come out,run out,come in,2,空が澄んでいる夜には、美しい星が出る。
29,a couple of ～,2、3の～,"I will be back in (     ) minutes, so please wait here.",a sort of,a kind of,a couple of,a bit of,3,2、3分で戻りますので、ここで待っていてください。
30,as ～ as possible,できるだけ～,Try to run (     ) so that you can win the race this afternoon.,all the time,again and again,more and more,as fast as possible,4,今日の午後のレースに勝てるよう、できるだけ速く走ってみなさい。
31,be responsible for ～,～に対して責任がある,The driver is (     ) the safety of all the passengers on the bus.,afraid of,proud of,famous for,responsible for,4,その運転手はバスの全乗客の安全に責任がある。
32,come up with ～,～を思いつく,She managed to (     ) a great idea for the school festival.,get along with,catch up with,come up with,put up with,3,彼女は学園祭のためのすばらしいアイデアを思いついた。
33,no longer ～,もはや～でない,"She (     ) lives here, because she moved to Tokyo last month.",as well,no longer,even more,not yet,2,彼女は先月東京に引っ越したので、もうここには住んでいない。
34,put out ～,～(火など)を消す,The firefighters worked very hard to (     ) the huge fire in the old building.,put up,put out,put off,put away,2,消防士たちは古い建物の大きな火事を消そうと懸命に働いた。
35,call off ~,〜を中止する,They had to (     ) the outdoor concert because of the heavy rain.,call on,call for,call off,call up,3,激しい雨のため、彼らは野外コンサートを中止しなければならなかった。
36,depend on ～,～に依存する,Baby birds (     ) their parents for food and safety.,think of,depend on,hear from,laugh at,2,ひな鳥は食べ物と安全を親に依存している。
37,figure out ~,〜を理解する、〜をわかる,"I couldn't (     ) how to use the new machine, so I asked my brother for help.",look after,care about,get along,figure out,4,私はその新しい機械の使い方が理解できなかったので、兄に助けを求めた。
38,at a time,一度に,"The elevator is very small, so only four people can ride in it (     ).",on a trip,at a time,by a chance,in a hurry,2,そのエレベーターはとても小さいので、一度に4人しか乗ることができない。
39,by mistake,間違って,I took someone else's umbrella (     ) because it looked just like mine.,in fact,on time,at once,by mistake,4,自分のものとそっくりだったので、私は間違って他人の傘を持って行ってしまった。
40,look up ～,～を(辞書などで)調べる,"If you don't know this word, please (     ) it in your dictionary.",look up,look after,look down,look out,1,この単語がわからないなら、辞書で調べてください。
41,turn on ～,～のスイッチを入れる,"It's getting dark in here, so please (     ) the lights.",take off,turn on,turn off,put off,2,ここは暗くなってきたので、明かりをつけてください。
42,break out,(災害･戦争などが)発生する、勃発する,A huge fire suddenly began to (     ) in the old factory late at night.,break down,break out,break in,break off,2,夜遅く、その古い工場で大きな火事が突然発生し始めた。
43,take part in ～,～に参加する,Many students really want to (     ) the school festival this year.,get out of,get rid of,take part in,run out of,3,今年は多くの生徒が学校祭に参加したがっている。
44,far from ～,～から遠い,"The hotel was very (     ) the station, so we had to take a taxi.",next to,far from,close to,apart from,2,ホテルは駅からとても遠かったので、私たちはタクシーに乗らなければならなかった。
45,carry out ～,～を実行する,The team decided to (     ) their new plan carefully step by step.,carry out,run out,take out,find out,1,チームは、新しい計画を一歩ずつ慎重に実行することに決めた。
46,plenty of ～,たくさんの～,Don't hurry; we still have (     ) time before the movie starts.,few of,plenty of,most of,many of,2,急がないで、映画が始まるまでまだたくさん時間がある。
47,in addition to ～,～に加えて,"(     ) English, she can also speak French and Chinese very well.",Instead of,In spite of,In addition to,Because of,3,英語に加えて、彼女はフランス語と中国語もとても上手に話せる。
48,live on ～,～を収入源として生活する,"After he retired, he had to (     ) his small pension every month.",live in,live for,live with,live on,4,退職後、彼は毎月少ない年金を頼りに生活しなければならなかった。
49,take place,行われる、開催される,The music festival will (     ) in the park next weekend.,take place,take part,take off,take care,1,その音楽祭は来週末、公園で行われる。
50,accuse A of B,AをBのことで非難［告訴］する,The police accused the man (     ) stealing money from the store.,for,of,with,about,2,警察はその男を、店からお金を盗んだことで非難した。
51,all the way,はるばる,My grandmother traveled (     ) from London just to see my graduation.,by the way,in the way,all the way,on the way,3,祖母は私の卒業式を見るためだけに、ロンドンからはるばるやって来た。
52,be about to do,まさに～するところである,I was (     ) leave the office when my boss suddenly asked me to stay.,keen on,about to,fond of,used to,2,上司が突然残ってほしいと言ったとき、私はまさにオフィスを出るところだった。
53,so far,今までのところ,The new movie has been a great success (     ) around the world.,by chance,from now,so far,at first,3,その新作映画は今までのところ世界中で大成功をおさめている。
54,on purpose,わざと,I didn't break the window (     ); it just slipped out of my hand.,at once,on purpose,in time,by mistake,2,私はわざと窓を割ったのではない。ただ手から滑り落ちただけだ。
55,apply for ～,～に応募する,She finally decided to (     ) the new job at the travel company.,apply for,care for,search for,pay for,1,彼女はついに、旅行会社の新しい仕事に応募することを決めた。
56,had better do,～した方がよい,"You look very sick, so you (     ) see a doctor as soon as possible.",feel better,had better,get better,are better,2,あなたはとても具合が悪そうなので、できるだけ早く医者に診てもらった方がよい。
57,hand down ~,〜を後世に残す、〜を伝える,These traditional songs have been (     ) from parents to children for many centuries.,handed down,handed out,handed in,handed over,1,これらの伝統的な歌は、何世紀にもわたって親から子へと後世に伝えられてきた。
58,pay attention to ～,～に注意を払う,You must (     ) the teacher's instructions during the exam.,take part in,pay attention to,run out of,look forward to,2,あなたは試験中、先生の指示に注意を払わなければならない。
59,account for ~,〜の所在がわかっている、〜(の理由)を説明する,The teacher checked the list to make sure that all the students were (     ) before the bus left.,looked after,cared about,accounted for,dealt with,3,先生はバスが出発する前に、すべての生徒の所在がわかっているか確かめるためにリストを確認した。
60,by the time ～,～するときまでに,"(     ) we arrived at the station, the last train had already left.",By the time,As soon as,In case,Unless,1,私たちが駅に着くときまでには、最終電車はすでに出てしまっていた。
61,happen to do,たまたま～する,"I didn't plan it, but I (     ) meet my teacher at the shopping mall.",managed to,happened to,refused to,decided to,2,計画したわけではないが、私はたまたまショッピングモールで先生に会った。
62,in terms of~,〜の観点から,"(     ) price, this car is cheaper, but it uses much more gas.",In spite of,In terms of,In case of,In danger of,2,価格の観点から見ると、この車はより安いが、ガソリンをずっと多く使う。
63,go over ～,～を見直す,You should (     ) your answers carefully before handing in the test.,get up,put on,go over,run into,3,テストを提出する前に、答えを注意深く見直すべきだ。
64,be satisfied with ～,～に満足している,"After the delicious meal, all the guests were very (     ) the service.",angry with,satisfied with,popular with,careful with,2,おいしい食事のあと、客は全員そのサービスにとても満足していた。
65,look up to ～,～を尊敬する,Many young players (     ) the captain for his hard work and kindness.,look out for,look up to,look back on,look down on,2,多くの若い選手は、努力と優しさゆえにそのキャプテンを尊敬している。
66,bring about ~,(結果など)を招く、〜を引き起こす,The new technology will (     ) many changes in the way people work.,bring up,take after,look into,bring about,4,その新しい技術は、人々の働き方に多くの変化を引き起こすだろう。
67,exchange ～ for …,～を…と交換する,"I'd like to (     ) this shirt for a smaller one, please.",exchange,describe,borrow,measure,1,このシャツを小さいものと交換したいのですが。
68,catch up with ～,～に追いつく,She ran as fast as she could to (     ) her friends who were far ahead.,look down on,catch up with,get away from,run out of,2,彼女はずっと先を行く友達に追いつくため、できるだけ速く走った。
69,put down ～,～を書き留める,Please (     ) your name and phone number clearly on this form.,turn on,put down,look up,take off,2,この用紙にあなたの名前と電話番号をはっきりと書き留めてください。
70,in a sense,ある意味では,"(     ), losing the game was good because we learned many lessons.",In a sense,In advance,In a hurry,In a row,1,ある意味では、その試合に負けたことは、多くの教訓を学べたのでよかった。
71,be free from ～,～から解放されている,"After the exams ended, the students were finally (     ) stress and worry.",full of,tired of,afraid of,free from,4,試験が終わると、生徒たちはついにストレスと不安から解放された。
72,in spite of ～,～にもかかわらず,"(     ) the heavy rain, they decided to play soccer in the park.",In front of,Instead of,Because of,In spite of,4,激しい雨にもかかわらず、彼らは公園でサッカーをすることに決めた。
73,for the time being,当分の間,"Our office is being repaired, so we will work from home (     ).",for the time being,for the first time,for a change,for the most part,1,私たちのオフィスは修理中なので、当分の間は在宅で働く予定だ。
74,count on(upon)~,〜を当てにする、〜に頼る,You can always (     ) me when you are in trouble.,count up,look on,count on,wait on,3,困ったときは、いつでも私を当てにしていいよ。
75,decide on ～,～に決める,It took us a long time to (     ) the color of our new car.,depend on,carry on,decide on,get on,3,私たちは新しい車の色を決めるのに長い時間がかかった。
76,take up ~,(趣味･仕事として)〜を始める,"Since moving to the countryside, my uncle has decided to (     ) gardening as a hobby.",give off,turn down,break out,take up,4,田舎に引っ越して以来、私のおじは趣味としてガーデニングを始めることに決めた。
77,watch out for ～,～に用心する,You should (     ) cars carefully when you cross this busy street.,take care of,watch out for,look forward to,run out of,2,この交通量の多い通りを渡るときは、車に注意して用心すべきだ。
78,in turn,順番に,"We took our seats and answered the teacher's questions one by one, (     ).",in turn,in fact,in time,at once,1,私たちは席につき、先生の質問に順番に一つずつ答えた。
79,at the moment,ちょうど今,"I'm very busy (     ), so can I call you back a little later?",at the moment,in the past,for good,after all,1,ちょうど今とても忙しいので、少し後でかけ直してもいいですか。
80,get over ～,～を克服する,It took her a few weeks to (     ) her bad cold and feel healthy again.,get over,put off,take off,get on,1,彼女がひどい風邪を克服して再び元気になるのに数週間かかった。
81,on board,～に乗って,All the passengers were already (     ) the plane before it took off.,on board,in charge,at hand,on time,1,飛行機が離陸する前に、乗客は全員すでにその飛行機に乗っていた。
82,take after ～,～に似ている,Ann really (     ) her mother; they have the same eyes and smile.,looks after,cares about,takes over,takes after,4,アンは本当にお母さんに似ていて、目も笑顔も同じだ。
83,by far,断然,This is (     ) the best restaurant in the whole town.,for now,by far,at last,so far,2,ここは町全体で断然一番のレストランだ。
84,in charge of ～,～を担当して,Ms. Green is (     ) the school library and helps students find good books.,in charge of,in place of,in need of,in spite of,1,グリーン先生は学校の図書館を担当していて、生徒がよい本を見つけるのを手伝う。
85,be subject to ~,〜になりやすい、〜を受けやすい,Prices in this country are (     ) sudden change because of the unstable economy.,thanks to,according to,subject to,prior to,3,この国の物価は、不安定な経済のために急な変動を受けやすい。
86,owing to ~,〜のために、〜の理由で,"(     ) the heavy snow, all the trains were delayed this morning.",According to,Instead of,Apart from,Owing to,4,大雪のため、今朝はすべての電車が遅れた。
87,on (in) behalf of~,〜を代表して、〜のために,The vice president accepted the award (     ) the whole team.,in front of,on behalf of,by way of,in spite of,2,副社長はチーム全体を代表してその賞を受け取った。
88,run into ～,～と偶然出会う,I didn't expect to (     ) my old friend at the station this morning.,run into,carry out,turn off,give up,1,今朝、駅で昔の友達に偶然出会うとは思っていなかった。
89,lay off ~,〜を一時的に解雇する,"Because business was very slow, the company had to (     ) hundreds of workers last month.",take off,put off,call off,lay off,4,商売がとても不振だったので、その会社は先月、何百人もの労働者を解雇しなければならなかった。
90,in favor of ~,〜に賛成して、〜のために,Most of the members voted (     ) the new plan because it would save money.,in need of,in front of,in case of,in favor of,4,そのメンバーの大半は、お金の節約になるという理由で新しい計画に賛成して投票した。
91,in public,人前で,He was so shy that he was afraid of singing (     ).,in public,in advance,in fact,in general,1,彼はとても内気なので、人前で歌うのを怖がっていた。
92,on the contrary,それどころか、それと逆に,"I thought he would be angry, but (     ), he just laughed and forgave me.",on the whole,on purpose,on average,on the contrary,4,彼は怒ると思っていたが、それどころか、彼はただ笑って私を許してくれた。
93,stick to~,〜をやり通す、〜にくっつく,"Even when training was hard, she decided to (     ) her plan.",give up,look into,stick to,get over,3,訓練がつらいときでも、彼女は自分の計画をやり通すことに決めた。
94,make a difference,違いをもたらす,Even a small act of kindness can (     ) in someone's daily life.,make a difference,make a mistake,make a decision,make a promise,1,小さな親切な行いでさえ、誰かの日々の生活に違いをもたらすことがある。
95,make sense,意味が通じる,His story is so strange that it does not (     ) to me at all.,make sense,look after,run out,give up,1,彼の話はとても奇妙で、私には全く意味が通じない。
96,stand out,目立つ,Her bright red dress made her (     ) in the huge crowd at the party.,break down,stand out,look up,get along,2,彼女の明るい赤いドレスは、パーティーの大勢の人混みの中で彼女を目立たせた。
97,show up（~）,姿を見せる、現れる、〜を目立たせる,"We waited for an hour, but our guest did not (     ) at the party.",show off,put up,show up,give up,3,私たちは1時間待ったが、招待客はパーティーに姿を見せなかった。
98,bring up ～,～を育てる,My grandparents helped my mother (     ) three children on the farm.,put off,turn on,bring up,take off,3,祖父母は母が農場で3人の子どもを育てるのを手伝った。
99,by means of ~,〜によって,"In the past, people sent messages (     ) letters carried by horses.",by means of,in spite of,instead of,in front of,1,昔、人々は馬によって運ばれる手紙を使ってメッセージを送っていた。
100,in advance,あらかじめ,"If you want a table at that popular restaurant, you should book it (     ).",in general,in advance,in return,in common,2,あの人気レストランで席を取りたいなら、あらかじめ予約した方がよい。
101,look down on [upon] ~,〜を見下す,You should never (     ) people just because they are poor or less educated.,look down on,look up to,look out for,look back on,1,貧しいとか教育が足りないというだけで、決して人を見下すべきではない。
102,in the long run,長い目で見れば,Studying English every day will surely help you a lot (     ).,on purpose,at the moment,on the other hand,in the long run,4,毎日英語を勉強することは、長い目で見ればきっとあなたの大きな助けになる。
103,go through ～,～を経験する,They had to (     ) many hard times before their business finally became successful.,go over,give up,go through,look after,3,彼らは事業がついに成功するまでに、多くのつらい時期を経験しなければならなかった。
104,as long as ～,～する限り,You can borrow my bike (     ) you return it by tonight.,as soon as,as long as,as much as,as well as,2,今夜までに返してくれる限り、私の自転車を借りてもいいよ。
105,in a row,連続して、一列に,"Our team has now won five games (     ), so everyone is very excited.",in a row,in a sense,in a hurry,in a while,1,私たちのチームは今や5試合連続で勝っており、みんなとても興奮している。
106,put off ～,～を延期する,"Because of the storm, they had to (     ) the baseball game until next week.",put on,put off,show off,take off,2,嵐のため、彼らは野球の試合を来週まで延期しなければならなかった。
107,turn in ~,〜を提出する,You must (     ) your homework by Friday morning.,turn down,turn in,turn off,turn up,2,あなたは金曜日の朝までに宿題を提出しなければならない。
108,now that ～,今や～なので,"(     ) you are eighteen, you can get a driver's license.",Now that,As if,So that,In case,1,今やあなたは18歳なので、運転免許を取ることができる。
109,cope with ~,(難局･問題など)をうまく処理する,She is good at her job because she can (     ) difficult situations calmly.,agree with,deal in,put up,cope with,4,彼女は難しい状況を冷静にうまく処理できるので、仕事が得意だ。
110,make do with ~,(ありあわせのもの)で済ます,"There was no fresh meat left, so we had to (     ) some canned food for dinner.",make do with,make up for,make use of,make fun of,1,新鮮な肉が残っていなかったので、私たちは夕食を缶詰の食べ物で済まさなければならなかった。
111,rule out ~,〜を除外する,The doctors could not (     ) the possibility that the patient had a serious illness.,rule out,bring up,carry out,point out,1,医師たちは、その患者が重い病気である可能性を除外することができなかった。
112,wear out （~）,すり減る、(〜を)すり減らす,"After running every day for two years, his old sneakers finally began to (     ).",wear off,work out,run out,wear out,4,2年間毎日走った後、彼の古いスニーカーはついにすり減り始めた。
113,settle down,身を固める、落ち着く,"After traveling around the world for years, he finally decided to (     ) and start a family.",break down,settle down,turn down,look down,2,何年も世界中を旅した後、彼はついに身を固めて家庭を持つことを決めた。
114,name ～ after …,…にちなんで～を名付ける,"They decided to (     ) her grandmother, whom they had loved deeply.",take her for,call her off,look her up,name her after,4,彼らは、自分たちが深く愛していた祖母にちなんで彼女を名付けることに決めた。
115,see ～ off,～を見送る,We went to the station to (     ) our grandmother as she left for Osaka.,see off,show off,take off,put off,1,祖母が大阪へ発つとき、私たちは駅へ見送りに行った。
116,sum up ~,〜を要約する、〜を合計する,"At the end of the meeting, the manager tried to (     ) the main points in just a few sentences.",put up,give up,sum up,take up,3,会議の終わりに、部長は要点をほんの数文で要約しようとした。
117,on the spot,即座に、その場で,The manager liked her ideas so much that he offered her the job (     ).,on the way,in the end,at the most,on the spot,4,部長は彼女のアイデアをとても気に入ったので、その場で彼女に仕事を提示した。
118,stand by ～,～を支援する,"No matter what troubles you face, I will always (     ) you as a true friend.",stand by,stand up,stand out,stand for,1,どんな困難に直面しても、私は本当の友人としていつも君を支援するよ。
119,keep track of ~,〜を見失わないようにする、(人の動向など)に注意している,"It is hard to (     ) all the new words I learn every day, so I write them in a notebook.",keep up with,keep track of,keep away from,keep an eye on,2,毎日覚える新しい単語を全部把握しておくのは難しいので、私はそれらをノートに書いている。
120,live up to ~,(期待など)に応える、〜に従って生きる［行動する］,"The new restaurant did not (     ) its great reputation, and the food was disappointing.",look up to,keep up with,live up to,catch up with,3,その新しいレストランは評判の良さに応えられず、料理はがっかりするものだった。
121,too ～ to do,…するには～すぎる,"The tea was (     ) hot to drink, so I waited a few minutes.",so,quite,very,too,4,その紅茶は飲むには熱すぎたので、私は数分待った。
122,find out ～,～を見つけ出す、調べて知る,I called the station to (     ) what time the last train leaves tonight.,get off,find out,turn on,sit down,2,私は今夜最終電車が何時に出るのかを調べるために駅に電話した。
123,so ～ that …,とても～なので…,The box was (     ) heavy that I could not lift it by myself.,very,such,so,too,3,その箱はとても重かったので、私は一人で持ち上げられなかった。
124,take care of ～,～の世話をする,My sister will (     ) my dog while I am away next week.,run out of,hear from,take care of,look forward to,3,妹は来週私が留守の間、私の犬の世話をしてくれる。
125,deal with ~,(問題)を処理する、(主題など)を扱う,The manager knows how to (     ) angry customers in a calm and polite way.,agree with,catch up with,come up with,deal with,4,その店長は、怒っている客を冷静で礼儀正しい方法で対応する方法を知っている。
126,put on ～,～を着用する、身につける,"It is very cold outside, so please (     ) your warm coat before you go.",take off,put on,hand in,look up,2,外はとても寒いので、出かける前に暖かいコートを着てください。
127,contribute to ～,～の一因となる、～を助長する,Lack of sleep can greatly (     ) stress and poor concentration at work.,turn to,belong to,happen to,contribute to,4,睡眠不足は職場でのストレスや集中力の低下の大きな一因となりうる。
128,act on ～,～に従って行動する、～に作用する,"Instead of ignoring the warning, the manager decided to (     ) the advice at once.",act out,act up,act on,act for,3,その警告を無視するのではなく、部長はすぐに助言に従って行動することにした。
129,try on ～,～を試着する,May I (     ) this jacket to see if it fits me?,try on,put off,take off,give up,1,これに合うか確かめるために、このジャケットを試着してもいいですか。
130,turn A into B,AをBに変える,The company plans to (     ) the old factory into a modern museum.,bring,keep,hold,turn,4,その会社は古い工場を近代的な博物館に変える計画だ。
131,according to ~,〜によれば,"(     ) the weather forecast, it will rain heavily this evening.",According to,Because of,Instead of,Thanks to,1,天気予報によれば、今晩は激しく雨が降るだろう。
132,refer to ~,〜に言及する、〜に関係する、〜を参照する,"In his speech, the president did not (     ) the recent economic problems at all.",belong to,object to,refer to,stick to,3,スピーチの中で、大統領は最近の経済問題に全く言及しなかった。
133,on earth,一体全体,What (     ) are you doing here so late at night?,on sale,on foot,on earth,on time,3,こんな夜遅くに、一体全体ここで何をしているの。
134,be concerned about ~,〜を心配している、〜を気遣っている,Many parents are (     ) their children's safety online these days.,pleased with,famous for,satisfied with,concerned about,4,最近、多くの親が子供のオンライン上の安全を心配している。
135,on the other hand,他方では、それに反して,"This car is cheap. (     ), it uses a lot of gas, so it may not save you money.",In other words,For example,On the other hand,As a result,3,この車は安い。他方では、ガソリンをたくさん使うので、お金の節約にはならないかもしれない。
136,concentrate on~,〜に集中する,Please turn off the TV so that I can (     ) my homework.,depend on,carry on,concentrate on,get on,3,宿題に集中できるように、テレビを消してください。
137,along with ～,～と一緒に,She sent a birthday card (     ) a small present to her friend.,because of,in front of,along with,thanks to,3,彼女は友達に、小さなプレゼントと一緒に誕生日カードを送った。
138,complain about ～,～について不平を言う,"At the meeting, the workers wanted to (     ) their low salaries.",agree with,complain about,dream of,hope for,2,その会議で、労働者たちは自分たちの低い給料について不平を言いたがった。
139,except for ～,～を除いては,"Everyone came to the birthday party (     ) Tom, who was sick in bed.",instead of,except for,because of,thanks to,2,病気で寝ていたトムを除いては、みんなが誕生日パーティーに来た。
140,next to ～,～の隣に,The bank is right (     ) the post office on Main Street.,next to,far from,out of,apart from,1,その銀行はメインストリートの郵便局のすぐ隣にある。
141,in a hurry,急いで,She left the house (     ) and forgot to lock the front door.,at last,in a hurry,by heart,on time,2,彼女は急いで家を出たので、玄関の鍵をかけ忘れた。
142,~. and so on,(そして)〜など,"At the market they sell apples, oranges, bananas, (     ).",and so far,by the way,at last,and so on,4,その市場では、リンゴ、オレンジ、バナナなどを売っている。
143,not only ～ but also …,～ばかりでなく…もまた,She can speak (     ) English but also French and Spanish very well.,not only,rather than,as well as,instead of,1,彼女は英語だけでなくフランス語もスペイン語もとても上手に話せる。
144,blow up ～,爆発させて破壊する,The army planned to (     ) the bridge to stop the enemy from advancing.,look up,bring up,give up,blow up,4,軍は敵の前進を止めるためにその橋を爆破する計画を立てた。
145,turn off ～,～を消す,Please (     ) the lights when you leave the room to save energy.,turn off,turn up,take off,put on,1,節電のため、部屋を出るときは電気を消してください。
146,look after ～,～の世話をする,Our neighbor kindly agreed to (     ) our cat while we are away.,put off,break down,hand in,look after,4,近所の人が、私たちの留守中にネコの世話をすることを快く引き受けてくれた。
147,pick out ~,〜を選び出す,It was hard to (     ) just one dress from so many beautiful ones in the shop.,pick out,put away,take off,give back,1,店にあるたくさんの美しいドレスの中から、たった一着を選び出すのは難しかった。
148,as soon as ～,～するとすぐに,"(     ) I got home, I turned on the TV to watch the game.",As long as,As well as,As far as,As soon as,4,家に着くとすぐに、私は試合を見るためにテレビをつけた。
149,add ～ to …,～を…に加える,"If the soup isn't salty enough, please (     ) more salt to it.",taste,add,boil,drink,2,スープの塩気が足りなければ、もう少し塩を加えてください。
150,break off ～,～を急にやめる、(関係などを)断つ,"After the bitter argument, she decided to (     ) all contact with her former partner.",break off,bring up,break out,call up,1,激しい口論の後、彼女は元交際相手とのすべての連絡を断つことを決めた。
151,give up ～,～をあきらめる,Don't (     ) your dream even when things get difficult.,turn off,give up,put on,pick up,2,物事が困難なときでも夢をあきらめてはいけない。
152,amount to ~,総計で〜に達する,The total cost of the trip will (     ) more than two thousand dollars.,belong to,refer to,amount to,object to,3,その旅行の総費用は、合計で2千ドルを超えるだろう。
153,hear from ～,～から便りをもらう,Have you (     ) the company about your job application yet?,heard from,waited for,looked for,worked for,1,就職の応募について、もうその会社から連絡はありましたか。
154,search ～ for …,…を求めて～を探す,She (     ) the whole drawer for her passport before the long trip.,waited,looked,searched,asked,3,彼女は長い旅行の前に、パスポートを探して引き出し全体をくまなく調べた。
155,not ～ but …,～ではなく…,The color I really want for the wall is (     ) red but blue.,no,nothing,none,not,4,壁に本当に欲しい色は赤ではなく青だ。
156,before long,まもなく,"The sky suddenly became dark, and (     ) it started to rain heavily.",before long,up to now,more or less,side by side,1,空が突然暗くなり、まもなく激しく雨が降り始めた。
157,be likely to do,〜しそうである,"According to the dark clouds in the sky, it is (     ) rain heavily this afternoon.",able to,about to,eager to,likely to,4,空の黒い雲から判断すると、今日の午後は激しく雨が降りそうだ。
158,adhere to ～,主義や規則に忠実に従う,The company insists that every employee strictly (     ) the code of conduct.,adhere to,differ from,cope with,hint at,1,その会社は、すべての従業員が行動規範に厳格に従うことを求めている。
159,come down with ～,病気にかかる,Half the office (     ) a nasty flu just before the busy holiday season began.,looked up to,got along with,came down with,came up with,3,忙しい休暇シーズンが始まる直前に、オフィスの半数がたちの悪いインフルエンザにかかった。
160,at first,最初は,"(     ), the job seemed hard, but soon I got used to it.",At least,At first,At last,At once,2,最初はその仕事は難しく思えたが、すぐに慣れた。
161,after all,結局,"We were worried about the weather, but it didn't rain (     ).",after all,above all,in all,at once,1,私たちは天気を心配していたが、結局雨は降らなかった。
