No.,単語,日本語,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,日本語訳
31,bill,請求書,"After the meal, the waiter brought us the (     ) so we could pay.",bill,plate,spoon,menu,1,食事の後、ウェイターが支払えるように私たちに請求書を持ってきた。
32,expect,～を予期する,"We (     ) heavy rain tomorrow, so please bring your umbrella to school.",expect,forget,deny,refuse,1,明日は大雨が予想されるので、傘を学校に持ってきてください。
33,gain,を得る,You can (     ) useful experience by working part-time during summer.,miss,spend,waste,gain,4,夏の間アルバイトをすることで、役立つ経験を得ることができる。
34,available,入手できる,"Sorry, that popular book is not (     ) in our store right now.",available,famous,possible,useful,1,申し訳ありませんが、その人気の本は今この店では入手できません。
35,destroy,～を破壊する,The powerful earthquake will (     ) many old buildings in this small town.,destroy,decorate,discover,protect,1,その強い地震は、この小さな町の古い建物を数多く破壊するだろう。
36,search,を探す,The police will (     ) the whole building to find the missing child.,search,clean,build,leave,1,警察は行方不明の子どもを見つけるためにその建物全体を捜索する。
37,practice,を練習する,The soccer team must (     ) hard every day before the big game.,sleep,wait,practice,eat,3,サッカーチームは大事な試合の前に毎日一生懸命練習しなければならない。
38,prevent,～を防ぐ、妨げる,Washing your hands often can (     ) the spread of many diseases.,encourage,allow,prevent,cause,3,こまめに手を洗うことは多くの病気の広がりを防ぐことができる。
39,structure,構造,Engineers checked the (     ) of the old bridge to make sure it was safe.,sculpture,signature,furniture,structure,4,技術者たちは、その古い橋が安全であることを確かめるために構造を点検した。
40,fee,料金,You have to pay an entrance (     ) to visit this famous old museum.,fee,seat,gift,map,1,この有名な古い博物館を訪れるには入場料を払わなければならない。
41,region,地域,This (     ) of the country is famous for its beautiful mountains and clean rivers.,religion,reason,region,relation,3,この国のこの地域は、美しい山々ときれいな川で有名だ。
42,avoid,を避ける,You should (     ) eating too much sugar to stay healthy.,avoid,escape,refuse,prevent,1,健康でいるためには砂糖を摂りすぎるのを避けるべきだ。
43,complete,を達成する・完成させる,She worked hard to (     ) the difficult project on time.,complain,compare,complete,compete,3,彼女はその難しいプロジェクトを期限までに完成させようと一生懸命働いた。
44,remove,を取り除く,Please (     ) your shoes before you enter the Japanese room.,remove,remind,review,remain,1,和室に入る前に靴を脱いでください。
45,associate,を結び付けて考える,Many people (     ) the color red with danger and strong emotions.,appreciate,operate,celebrate,associate,4,多くの人は、赤色を危険や強い感情と結び付けて考える。
46,current,現在の,The (     ) president of the company will give a speech at the meeting today.,currant,correct,current,constant,3,その会社の現在の社長が、今日の会議でスピーチをする。
47,struggle,奮闘する,Many new students (     ) to make friends during their first month at college.,snuggle,stumble,sprinkle,struggle,4,多くの新入生は大学での最初の1か月の間、友達を作ろうと奮闘する。
48,detail,詳細,She described the accident in great (     ) to the police officer.,danger,effort,detail,purpose,3,彼女はその事故について警察官にとても詳しく説明した。
49,estimate,を見積もる,Experts (     ) that the new bridge will cost ten million dollars.,educate,operate,estimate,eliminate,3,専門家たちは、その新しい橋の建設には1千万ドルかかると見積もっている。
50,decade,10年間,"This town has changed a lot over the past (     ), growing from a quiet village into a busy city.",decade,decode,decide,decline,1,この町は過去10年間で、静かな村から活気あふれる都市へと大きく変わった。
51,suppose,～することになっている,"The bus is (     ) to come at eight, but it is already late.",agreed,decided,planned,supposed,4,バスは8時に来ることになっているが、もう遅れている。
52,theory,仮説,The scientist explained her (     ) about how the ancient city had disappeared.,factory,memory,history,theory,4,その科学者は、古代都市がどのように消えたのかについての自らの仮説を説明した。
53,ancient,古代の,The tourists visited some (     ) ruins that were built thousands of years ago.,sleepy,modern,ancient,cheap,3,観光客たちは数千年前に建てられた古代の遺跡を訪れた。
54,range,範囲,"This store sells a wide (     ) of products, from food to clothes and books.",change,range,arrange,orange,2,この店は、食品から衣類、本まで幅広い範囲の商品を売っている。
55,prove,わかる,"In the end, the cheap tool turned out to (     ) very useful for the job.",probe,prove,prove the,price,2,結局、その安い道具はその仕事にとても役立つとわかった。
56,fuel,燃料,Cars that use less (     ) are better for the environment.,fire,fuel,air,water,2,より少ない燃料を使う車は、環境によりよい。
57,environment,環境,We must protect the (     ) by using less plastic every day.,furniture,environment,equipment,apartment,2,私たちは毎日プラスチックを減らして環境を守らなければならない。
58,require,～を必要とする,This difficult job will (     ) a lot of experience and many special skills.,describe,forget,enjoy,require,4,この難しい仕事は、多くの経験とたくさんの特別な技術を必要とするだろう。
59,contain,を含む,This sweet drink (     ) a lot of sugar and is not good for you.,makes,contains,gives,brings,2,この甘い飲み物はたくさんの砂糖を含んでいて、体に良くない。
60,increase,（数や量が）増える、増加する,"More and more people are moving into the city, so its population will (     ).",decline,disappear,increase,decrease,3,ますます多くの人がその都市に移り住んでいるので、人口は増加するだろう。
61,obtain,を得る,It took him several years to (     ) a license to work as a nurse.,contain,obtain,maintain,remain,2,彼が看護師として働くための免許を得るのに数年かかった。
62,replace,～を取り替える,I need to (     ) the old batteries in this clock with brand-new ones.,repair,borrow,replace,return,3,この時計の古い電池を新品のものと取り替える必要がある。
63,adopt,を採用する,The government decided to (     ) a new plan to reduce traffic.,adapt,adopt,accept,admit,2,政府は、交通量を減らすための新しい計画を採用することにした。
64,author,著者,She is a famous (     ) who has written more than twenty popular novels.,doctor,author,painter,farmer,2,彼女は20冊以上の人気小説を書いた有名な著者だ。
65,reduce,～を減らす、削減する,The store decided to (     ) its prices in order to attract more customers.,expand,reduce,increase,raise,2,その店はより多くの客を引きつけるために値段を下げることに決めた。
66,chemical,化学物質、化学製品,This cleaning product contains a strong (     ) that can burn your skin.,smell,chemical,flavor,color,2,この洗剤には肌をやけどさせるほど強い化学物質が含まれている。
67,suit,スーツ,"For the wedding, he wore an elegant (     ) with a tie and shiny shoes.",dress,scarf,hat,suit,4,結婚式のために、彼はネクタイと光る靴を合わせた上品なスーツを着た。
68,celebrate,を祝う,We will (     ) my grandfather's 80th birthday with a big family party.,congratulate,complain,apologize,celebrate,4,私たちは盛大な家族のパーティーで祖父の80歳の誕生日を祝うつもりだ。
69,site,ウェブサイト,You can find more information about the event on our (     ).,letter,pen,site,paper,3,そのイベントについてのより多くの情報は、私たちのウェブサイトで見つけられる。
70,depend,頼る,Children (     ) on their parents for food and money.,comment,decide,depend,insist,3,子どもは食べ物とお金を親に頼っている。
71,decline,衰退する、(を)丁重に断る,The number of young people in this small town began to (     ) ten years ago.,decline,define,decide,divide,1,この小さな町の若者の数は、十年前に減少し始めた。
72,express,を表現する,She used art to (     ) her feelings to the people around her.,hide,express,count,forget,2,彼女は周りの人々に自分の気持ちを芸術で表現した。
73,correct,正しい,Please choose the (     ) answer from the four choices written below.,correct,heavy,narrow,quiet,1,下に書かれた4つの選択肢から正しい答えを選んでください。
74,preserve,を保存する,Adding salt is a good way to (     ) food for a long time.,preserve,deserve,observe,reserve,1,塩を加えることは、食べ物を長期間保存するよい方法だ。
75,purchase,(高価な物・大量の物)を購入する,The company plans to (     ) new computers for all of its employees.,prevent,produce,prepare,purchase,4,その会社は、全従業員のために新しいコンピューターを購入する予定だ。
76,oppose,に反対する、を対抗させる,Most of the local people strongly (     ) the plan to build a factory near the river.,oppose,suppose,impose,expose,1,地元の人々のほとんどは、川の近くに工場を建てる計画に強く反対している。
77,argue,～と主張する,"During the debate, he (     ) that taxes should be lower.",belonged,arrived,argued,escaped,3,討論の中で、彼は税金はもっと低くするべきだと主張した。
78,consume,を消費する,These new machines (     ) much less electricity than the old ones did before.,confuse,consume,contain,conclude,2,これらの新しい機械は、以前の古い機械よりもずっと少ない電気を消費する。
79,efficient,能率的な,The new machine is more (     ) and uses less energy than the old one.,effective,sufficient,ancient,efficient,4,その新しい機械はより能率的で、古いものより少ないエネルギーしか使わない。
80,convenient,便利な,This store is very (     ) because it is open 24 hours a day.,expensive,dangerous,crowded,convenient,4,この店は1日24時間開いているのでとても便利だ。
81,occur,思い浮かぶ,A good idea suddenly (     ) to me during the meeting.,offered,ordered,opened,occurred,4,会議中に、よい考えが突然私に思い浮かんだ。
82,invest,(を)投資する,My uncle decided to (     ) all his savings in a small local company.,invent,invite,invest,inform,3,私のおじは、自分の貯金すべてを小さな地元の会社に投資することに決めた。
83,advantage,利益、強み,Speaking two languages is a big (     ) when you look for a good job.,silence,machine,advantage,corner,3,二か国語を話せることは、良い仕事を探すときの大きな強みだ。
84,complex,複雑な、複合の,The math problem was so (     ) that even the smartest student could not solve it.,complete,complex,compact,content,2,その数学の問題はとても複雑だったので、最も頭の良い生徒でさえ解けなかった。
85,general,一般的な、全体の,The teacher gave us only (     ) information about the test and few specific details.,genuine,gentle,generous,general,4,先生はそのテストについて、具体的な詳細はほとんどなく、一般的な情報しか私たちに与えなかった。
86,disturb,～を妨害する,Please be quiet and do not (     ) the students who are taking the exam.,forgive,disturb,invite,praise,2,静かにして、試験を受けている生徒たちの邪魔をしないでください。
87,issue,発行,I bought the latest (     ) of my favorite comic magazine today.,page,price,issue,cover,3,私は今日、お気に入りのマンガ雑誌の最新号を買った。
88,publish,～を出版する,The famous writer will (     ) his new novel next month in Japan.,publish,perform,protect,paint,1,その有名な作家は来月日本で新しい小説を出版する予定だ。
89,patient,忍耐強い,You must be (     ) when you teach young children how to read.,angry,patient,lazy,careless,2,幼い子供に読み方を教えるときは忍耐強くなければならない。
90,indicate,を指し示す,The results of the survey clearly (     ) that most customers want lower prices.,indicate,imitate,include,invite,1,その調査の結果は、ほとんどの客がより安い価格を望んでいることをはっきりと指し示している。
91,consider,～についてよく考える,You should carefully (     ) all the options before making a decision.,forget,ignore,refuse,consider,4,決定を下す前に、すべての選択肢をよく考えるべきだ。
92,audience,観衆,A huge (     ) came to watch the famous singer's concert.,weather,audience,hobby,package,2,大勢の観衆がその有名な歌手のコンサートを見に来た。
93,remind,思い出させる,This note will (     ) me of my appointment with the dentist.,remember,forget,remind,memorize,3,このメモは歯医者との予約を私に思い出させてくれるだろう。
94,cell,細胞,The human body is made of billions of tiny (     ).,cells,bells,walls,balls,1,人間の体は、何十億もの小さな細胞でできている。
95,emphasize,を強調する,The coach wanted to (     ) the importance of teamwork during the meeting.,emphasize,organize,realize,apologize,1,そのコーチは、会議でチームワークの大切さを強調したかった。
96,concentrate,集中する,It is hard to (     ) on your homework with the TV on.,concentrate,celebrate,disappear,remember,1,テレビがついていると宿題に集中するのは難しい。
97,sight,光景,The view from the mountain top was a truly beautiful (     ) to see.,smell,sight,taste,sound,2,山頂からの眺めは本当に美しい光景だった。
98,review,～を復習する,"Before the big test, I will (     ) all my notes from this month.",lose,hide,forget,review,4,大事なテストの前に、私は今月のノートをすべて復習するつもりだ。
99,ban,を禁止する,The school decided to (     ) the use of smartphones during class time.,bend,band,ban,bear,3,その学校は、授業中のスマートフォンの使用を禁止することに決めた。
100,match,試合,Our team won the soccer (     ) by two goals last Saturday afternoon.,party,match,movie,lesson,2,私たちのチームはこの前の土曜日の午後、サッカーの試合に2点差で勝った。
101,quit,～をやめる,My uncle decided to (     ) smoking because it is bad for his health.,enjoy,continue,start,quit,4,私のおじは健康に悪いので、たばこをやめることに決めた。
102,effect,影響,Smoking has a bad (     ) on your health and can cause illness.,event,order,effect,offer,3,喫煙はあなたの健康に悪い影響を与え、病気を引き起こすことがある。
103,opportunity,機会,Studying abroad gave her a great (     ) to learn a new language.,activity,quantity,difficulty,opportunity,4,留学は彼女に新しい言語を学ぶ絶好の機会を与えた。
104,determine,を決定する,The teacher will (     ) the final grade based on your test scores and homework.,decorate,determine,describe,decline,2,先生はあなたのテストの点数と宿題に基づいて最終的な成績を決定する。
105,promote,～を促進する、増進する,Doctors say that regular exercise can (     ) good health and a longer life.,damage,reduce,promote,prevent,3,医師たちは、定期的な運動は健康と長寿を促進できると言う。
106,particular,特定の,"She wanted one (     ) book, not just any book on the shelf.",cheerful,peaceful,careful,particular,4,彼女は棚のどの本でもよいのではなく、ある特定の本が欲しかった。
107,predict,(を)予測する、(を)予言する,Scientists use computers to (     ) the weather for the coming week quite accurately.,prepare,prevent,predict,present,3,科学者たちは、来週の天気をかなり正確に予測するためにコンピューターを使う。
108,favor,好意・親切な行い,Could you do me a (     ) and help me carry these boxes?,question,promise,mistake,favor,4,お願いを聞いてこれらの箱を運ぶのを手伝ってくれませんか。
109,survive,生き残る,Only a few plants can (     ) in the cold desert at night.,survive,sink,die,melt,1,寒い砂漠の夜に生き残れる植物はほんのわずかしかない。
110,contrast,対照,There is a clear (     ) between life in the city and life in the countryside.,contrast,context,content,contact,1,都会の生活と田舎の生活の間には、はっきりとした対照がある。
111,release,を解放する,The zookeeper decided to (     ) the healed bird back into the wild.,release,catch,capture,trap,1,飼育員はその回復した鳥を野生に解放することに決めた。
112,approach,～に接近する,"As the train (     ) the station, please get ready to get off.",arrives,leaves,approaches,departs,3,電車が駅に接近したら、降りる準備をしてください。
113,absorb,夢中になる,The children were so (     ) in the exciting video game that they forgot dinner.,observed,absented,absorbed,obtained,3,子供たちはわくわくするテレビゲームにとても夢中で、夕食を忘れてしまった。
114,upset,～を動転させる・悲しませる,The sad news about the accident really (     ) the whole family.,amused,pleased,upset,relaxed,3,その事故についての悲しい知らせは家族全員をひどく動転させた。
115,disappoint,～を失望させる,The team's very poor performance will (     ) all of its loyal fans today.,welcome,celebrate,encourage,disappoint,4,チームのとてもひどいプレーは、今日、忠実なファン全員を失望させるだろう。
116,transfer,を移す,The bank can (     ) the money to your new account within one business day.,translate,transform,transfer,transport,3,銀行は、1営業日以内にあなたの新しい口座へお金を移すことができる。
117,quality,質,This shop is famous for selling furniture of very high (     ).,activity,quantity,ability,quality,4,この店はとても質の高い家具を売ることで有名だ。
118,adapt,を適応させる,New employees must quickly (     ) themselves to the company's working style.,adopt,admit,afford,adapt,4,新入社員は、その会社の働き方に素早く自分を適応させなければならない。
119,confuse,～を混同する,I often (     ) the twin brothers because they look exactly the same.,help,meet,confuse,call,3,その双子の兄弟はまったく同じに見えるので、私はよく彼らを混同する。
120,harm,を傷つける,Smoking can seriously (     ) your health over many years.,support,harm,help,improve,2,喫煙は長年にわたってあなたの健康を深刻に傷つける可能性がある。
121,trust,を信頼する,You can (     ) him because he always keeps his promises.,scold,blame,doubt,trust,4,彼はいつも約束を守るので、彼を信頼してよい。
122,refer,言及する,"During the lecture, the professor (     ) to an interesting book about space.",referred,agreed,belonged,arrived,1,講義の中で、教授は宇宙についての興味深い本に言及した。
123,fit,～にサイズがぴったり合う,These new shoes (     ) me perfectly; they are exactly the right size.,sell,buy,fit,wear,3,この新しい靴は私にぴったり合う。ちょうど良いサイズだ。
124,judge,を判断する,You should not (     ) people only by their outside appearance.,judge,forgive,scold,thank,1,人を外見だけで判断すべきではない。
125,method,方法,The teacher showed us a new (     ) for solving math problems quickly.,method,result,problem,reason,1,先生は私たちに数学の問題をすばやく解くための新しい方法を見せてくれた。
126,identify,を特定する,The police asked the witness to (     ) the man who had stolen the car.,identify,intensify,indicate,imitate,1,警察は、その目撃者に車を盗んだ男を特定するよう求めた。
127,essential,必要不可欠な、本質的な,Water and air are (     ) for all living things to stay alive.,essential,eventual,emotional,occasional,1,水と空気は、すべての生き物が生き続けるために必要不可欠である。
128,connect,をつなぐ・接続する,Please (     ) the printer to the computer before you print.,connect,remove,divide,separate,1,印刷する前に、プリンターをコンピューターにつないでください。
129,recognize,～（の価値など）を認める,The government finally (     ) her important work in medical science.,recognized,refused,ignored,denied,1,政府はついに医学における彼女の重要な業績を認めた。
130,suffer,苦しむ,Many people in the area (     ) from a lack of clean water.,escape,suffer,benefit,recover,2,その地域の多くの人々はきれいな水の不足に苦しんでいる。
131,survey,調査,The company did a (     ) to find out what customers think about the product.,promise,message,survey,journey,3,その会社は、顧客が製品についてどう思っているかを知るために調査を行った。
132,instrument,器具,The doctor used a special (     ) to check the sick child's ears carefully.,instrument,medicine,blanket,uniform,1,医者は病気の子どもの耳を注意深く調べるために特別な器具を使った。
133,custom,慣習、習慣,"In Japan, it is a (     ) to take off your shoes before entering a house.",garden,custom,mirror,corner,2,日本では、家に入る前に靴を脱ぐのが習慣だ。
134,bother,～に迷惑をかける,Please be quiet; loud music may (     ) the neighbors late at night.,bury,bother,borrow,gather,2,静かにしてください。大きな音楽は夜遅くに近所の人に迷惑をかけるかもしれません。
135,surface,表面,The (     ) of the water was covered with many fallen leaves.,surface,inside,corner,bottom,1,水面は多くの落ち葉で覆われていた。
136,trade,～を交換する,I will (     ) my sandwich for your cookie at lunch today.,cook,buy,trade,eat,3,私は今日の昼食で自分のサンドイッチをあなたのクッキーと交換するつもりだ。
137,reject,を拒絶する、を断る,The committee decided to (     ) his plan because it was far too expensive.,respect,reflect,reject,react,3,委員会は、彼の計画はあまりにも費用がかかりすぎるので、それを拒絶することに決めた。
138,stock,(商品)を店に置いている、に補充する,"This small shop does not (     ) many foreign products, so I shop online instead.",stick,shock,stretch,stock,4,この小さな店は外国製品をあまり置いていないので、代わりに私はオンラインで買い物をする。
139,status,地位、身分,Getting a college degree improved his social (     ) in the community.,statue,stadium,statement,status,4,大学の学位を取得したことで、彼の地域社会における社会的地位は向上した。
140,influence,影響,His kind teacher had a big (     ) on his life and future dreams.,influence,mistake,silence,machine,1,彼の優しい先生は、彼の人生と将来の夢に大きな影響を与えた。
141,wealth,富、財産,He gained great (     ) by starting his own successful technology business.,wealth,health,width,worth,1,彼は自分の成功した技術ビジネスを始めて、大きな富を得た。
142,explore,を探検する,The team wants to (     ) the deep cave to find new animals.,explain,expand,explode,explore,4,そのチームは新しい動物を見つけるために深い洞窟を探検したいと思っている。
143,material,材料,We need to buy some strong (     ) to build the wooden table.,material,weather,message,meaning,1,私たちはその木のテーブルを作るために丈夫な材料を買う必要がある。
144,duty,職務、義務,It is the (     ) of every police officer to protect the public.,duty,dairy,diary,dusty,1,市民を守ることは、すべての警察官の職務である。
145,commit,(罪など)を犯す,The man was sent to prison because he had (     ) a serious crime in the city.,committed,commented,connected,competed,1,その男は街で重大な罪を犯したため、刑務所に送られた。
146,official,公式の,The team wore their (     ) uniforms for the important national game.,secret,official,private,personal,2,そのチームは重要な全国大会のために公式のユニフォームを着た。
147,adjust,を調節する,You can (     ) the height of this chair to make it comfortable for your back.,adopt,admit,adjust,attach,3,背中が楽になるように、この椅子の高さを調節することができる。
148,likely,～しそうである,"It looks very cloudy, so it is (     ) to rain this afternoon.",likely,willing,able,ready,1,とても曇っているので、今日の午後は雨が降りそうだ。
149,obvious,明らかな,It was (     ) from his tired face that he had not slept at all the night before.,obedient,previous,obvious,various,3,彼の疲れた顔から、前の晩に彼が全く眠っていなかったことは明らかだった。
150,vehicle,乗り物,You must not park your (     ) in front of the hospital entrance.,vacancy,village,victory,vehicle,4,あなたは病院の入り口の前に乗り物を駐車してはいけない。
151,figure,図,Please look at (     ) 3 on page ten to understand the data clearly.,corner,window,figure,garden,3,データをはっきり理解するために、10ページの図3を見てください。
152,demonstrate,を論証する、を実演する、デモをする,The teacher used a real experiment to (     ) how the machine actually works.,concentrate,decorate,demonstrate,dominate,3,その先生は、その機械が実際にどう動くかを実演するために、本物の実験を使った。
153,consist,～から成る,A week (     ) of seven days from Monday to Sunday.,consists,believes,arrives,depends,1,1週間は月曜から日曜までの7日から成る。
154,import,を輸入する,Japan has to (     ) most of its oil from other countries every year.,impact,imply,import,improve,3,日本は毎年、石油の大半を他国から輸入しなければならない。
155,resource,資源、資金、(いざというときの)手段,Water is a precious natural (     ) that we should never waste in daily life.,response,research,resource,recourse,3,水は、日常生活で決して無駄にしてはならない貴重な天然資源である。
156,consequence,結果、結論,"If you drive too fast, you must accept the (     ) of having an accident.",confidence,conference,conscience,consequence,4,あまりに速く運転すれば、事故を起こすという結果を受け入れなければならない。
157,scare,～を怯えさせる,The sudden loud noise in the dark (     ) the little children.,scared,helped,pleased,invited,1,暗闇での突然の大きな音は幼い子供たちを怯えさせた。
158,define,を定義する、を明確にする,"It is sometimes difficult to clearly (     ) the meaning of the word ""love.""",decline,divide,derive,define,4,「愛」という言葉の意味を明確に定義することは時に難しい。
159,compete,競争する,Many strong runners will (     ) in the marathon this weekend.,apologize,complain,relax,compete,4,今週末、多くの力強いランナーがマラソンで競争する。
160,instruction,指示,Please follow every (     ) that the teacher gives during the test.,description,invitation,decoration,instruction,4,テスト中は先生が出すすべての指示に従ってください。
161,specific,特定の,Please give me a (     ) time and place for our meeting tomorrow.,similar,public,specific,general,3,明日の会議の特定の時間と場所を教えてください。
162,potential,潜在的な,The coach believes this young player has great (     ) and will become a star someday.,essential,potential,influential,traditional,2,そのコーチは、この若い選手は大きな潜在能力があり、いつかスターになると信じている。
163,contract,契約(書),"Before starting the new job, she had to read and sign the (     ) carefully.",contract,contact,content,context,1,新しい仕事を始める前に、彼女は契約書を注意深く読んでサインしなければならなかった。
164,profit,利益,The company made a large (     ) by selling its new products.,fee,profit,cost,debt,2,その会社は新製品を売ることで大きな利益を上げた。
165,exist,存在する,Scientists are not sure whether life can (     ) on other planets in space.,hurry,exist,apologize,decide,2,宇宙の他の惑星に生命が存在できるのかどうか、科学者たちは確信していない。
166,insurance,保険,"Before driving the new car, he bought (     ) in case of an accident.",assurance,insurance,instance,entrance,2,新しい車を運転する前に、彼は事故に備えて保険に入った。
167,approve,を承認する、良いと認める,The manager needs to (     ) the plan before the team can start the project.,appear,apply,approve,approach,3,チームがそのプロジェクトを始める前に、部長はその計画を承認する必要がある。
168,capable,有能な、できる,She is a (     ) leader who can solve difficult problems very quickly.,capable,captive,capital,cable,1,彼女は、難しい問題を非常に早く解決できる有能なリーダーだ。
169,enormous,莫大な,"The new shopping mall is (     ), and it takes a long time to walk around it.",enjoyable,enormous,emotional,essential,2,その新しいショッピングモールは莫大な大きさで、一周するのに長い時間がかかる。
170,award,（賞などを）与える,The school will (     ) the best student a scholarship next month.,collect,award,sell,borrow,2,その学校は来月、最優秀の生徒に奨学金を与える予定だ。
171,retire,引退する,My father plans to (     ) from his company when he turns sixty-five.,retire,remain,require,return,1,父は65歳になったら会社を引退するつもりだ。
172,overcome,～を克服する、乗り越える,"With a lot of practice, he was finally able to (     ) his fear of speaking in public.",create,increase,cause,overcome,4,たくさんの練習のおかげで、彼はついに人前で話す恐怖を克服することができた。
173,value,価値,This old painting has great (     ) and is worth a lot of money.,value,weather,weight,danger,1,この古い絵は大きな価値があり、多くのお金に値する。
174,document,文書,Please sign this important (     ) and return it to the office.,garden,picture,window,document,4,この大切な文書に署名して、事務所に返してください。
175,divide,を分ける,The teacher will (     ) the class into four small groups for the game.,gather,divide,collect,join,2,先生はそのゲームのためにクラスを4つの小さなグループに分けるつもりだ。
176,facility,施設,The town built a new sports (     ) where people can swim and play basketball.,faculty,fragility,facility,familiarity,3,その町は、人々が泳いだりバスケットボールをしたりできる新しいスポーツ施設を建てた。
177,victim,犠牲者、被害者,The police helped the (     ) of the accident get to the hospital quickly.,visitor,victim,veteran,villain,2,警察は事故の被害者がすぐに病院へ着けるよう手助けした。
178,temporary,一時的な,"He found a (     ) job for the summer, but it will end in September.",temporary,necessary,ordinary,secondary,1,彼は夏の間の一時的な仕事を見つけたが、それは9月に終わるだろう。
