No.,単語,意味,出現冊数
272,resume,(中断後に)再開する、また始める,6
273,awful,ひどい,6
274,rumor,うわさ,6
275,honor,光栄,6
276,aisle,通路,6
277,laundry,洗濯物,6
278,delicate,壊れやすい、繊細な,6
279,altitude,高度、海抜,6
280,inherit,を継ぐ、を相続する,6
281,manual,マニュアル,6
282,dizzy,めまいがする,6
283,tremble,震える,6
284,confess,告白する、を告白する,6
285,subject,話題,5
286,provide,を提供[供給]する,5
287,focus,焦点,5
288,share,～を共有する,5
289,prepare,（の）準備をする,5
290,claim,～を主張する、言い張る,5
291,repair,を修理する、直す,5
292,realize,を実現する,5
293,economy,経済,5
294,recommend,～を推薦する、勧める,5
295,prefer,の方を好む,5
296,benefit,利益,5
297,cause,を引き起こす,5
298,evidence,証拠,5
299,regard,ある見方で人や物をとらえる、みなす,5
300,agree,賛成する,5
